VCF0013  {0.0: '0. No Post-election interview data', 1.0: '1. Post-election interview data present'}
contribution_1USD  {0.0: '0. DK; NA; no Post IW; abbrev. telephone IW (1984)', 1.0: '1. Yes', 2.0: '2. No'}
contribute_party  {0.0: '0. DK; NA; no Post IW; abbrev. telephone IW (1984)', 1.0: '1. Yes', 2.0: '2. No'}
contribute_PAC  {0.0: '0. DK; NA; no Post IW; abbrev. telephone IW (1984)', 1.0: '1. Yes', 2.0: '2. No'}
contribute_candidate  {0.0: '0. DK; NA; no Post IW; abbrev. telephone IW (1984)', 1.0: '1. Yes', 2.0: '2. No'}
political_organization  {1.0: '1. Yes', 5.0: '5. No', 9.0: '9. DK; NA; no Post IW'}
access_internet  {1.0: '1. Yes', 5.0: '5. No', 9.0: '9. DK; NA; no Post IW'}
VCF0745  {0.0: '0. R does not have access', 1.0: '1. Yes', 5.0: '5. No', 9.0: '9. DK; NA; DK/NA if has access; no Post IW'}
VCF0746  {1.0: '1. Yes, there were groups', 5.0: '5. No, no groups tried to encourage', 9.0: '9. DK; NA; no Post IW'}
VCF0747  {1.0: '1. Yes', 5.0: '5. No, no information available', 7.0: "7. No, don't attend church [VOL]", 9.0: '9. DK; NA; no Post IW'}
voted_electionDay_orB4  {1.0: '1. On election day', 5.0: '5. Some time before', 9.0: '9. DK; NA; R did not vote; no Post IW'}
howLong_votedbefore  {1.0: '01. Less than one week, 1-6 days', 2.0: '02. One week; 7 days', 3.0: '03. 1-2 weeks; 8-14 days', 4.0: '04. 2-3 weeks; 15-21 days', 5.0: '05. 3-4 weeks; 22-28 days', 6.0: '06. One month; 29-31 days', 7.0: '07. More than one month; 32-60 days', 11.0: '11. A few days; a couple of days; several days -- NFS', 12.0: '12. A few weeks; a couple of weeks; several weeks -- NFS', 91.0: '91. More than a few days -- NFS', 92.0: '92. More than a few weeks --NFS', 97.0: '97. Other', 99.0: '99. DK; NA; R did not vote; R did not vote before'}
voted_inPerson  {1.0: '1. In person', 5.0: '5. Absentee ballot', 7.0: '7. R volunteers: by mail [OREGON ONLY]', 9.0: '9. DK; NA; R did not vote; R did not vote prior to'}
VCF0801  {0.0: '00. Most liberal', 49.0: '49. Neutral', 97.0: '97. Most conservative', 98.0: "98. DK in VCF0211 or VCF0212; don't recognize OR can't", 99.0: '99. NA; no Post IW; form III,IV (1972)'}
ideology7  {0.0: '0. NA; no Post IW; form III,IV (1972); R not', 1.0: '1. Extremely liberal', 2.0: '2. Liberal', 3.0: '3. Slightly liberal', 4.0: '4. Moderate, middle of the road', 5.0: '5. Slightly conservative', 6.0: '6. Conservative', 7.0: '7. Extremely conservative', 9.0: "9. DK; haven't thought much about it"}
VCF0804  {0.0: '0. NA; no Post IW; form III,IV (1972)', 1.0: '1. Liberal', 2.0: '2. Moderate, middle of the road', 3.0: '3. Conservative', 9.0: "9. DK; haven't thought much about it"}
VCF0805  {0.0: '0. NA; no Pre IW', 1.0: '1. Opinion: help people get doctors and hospital care at', 2.0: '2. Opinion: stay out of this', 9.0: '9. No opinion; DK; not sure; depends; no interest; both;'}
VCF0806  {0.0: '0. NA; Form II (1972); version NEW (2008); no Post IW;', 1.0: '1. Government insurance plan', 7.0: '7. Private insurance plan', 9.0: "9. DK; haven't thought much about it"}
VCF0808  {0.0: '0. NA; no Pre IW; no Post IW', 1.0: '1. Yes, government should see to it that every person', 2.0: '2. Yes, should let each person get ahead on his own', 9.0: '9. Depends; other; both; no opinion; DK; no interest;'}
VCF0809  {0.0: '0. NA; no Post IW; form A (1986); version NEW (2008);', 1.0: '1. Government see to job and good standard of living', 7.0: '7. Government let each person get ahead on his own', 9.0: "9. DK; haven't thought much about it"}
urban_unrest  {0.0: '0. NA; no Post IW; form I,III (1972); short', 1.0: '1. Solve problems of poverty and unemployment', 7.0: '7. Use all available force', 9.0: "9. DK; haven't thought much about it"}
Black_positions_changed  {0.0: '0. NA; no Post IW; telephone IW (1984); form A', 1.0: '1. Not much at all', 2.0: '2. Some', 3.0: '3. A lot', 9.0: '9. DK; depends'}
civil_rights_push  {0.0: '0. NA; no Post IW; telephone IW (1984); form A', 1.0: '1. Too slowly', 2.0: '2. About right (1968 only: pro-con)', 3.0: '3. Too fast', 9.0: '9. DK; depends; other'}
VCF0815  {0.0: '0. NA', 1.0: '1. Desegregation', 2.0: '2. In between', 3.0: '3. Strict segregation', 9.0: "9. Don't know"}
VCF0816  {0.0: '0. NA; Form A (1986); form B (1990); no Post IW', 1.0: '1. Yes, R has an opinion: see to it that white and black', 2.0: '2. Yes, R has an opinion: stay out of this area (except', 9.0: '9. No, no opinion; DK; depends; no interest/concern;'}
VCF0817  {0.0: '0. NA; no Post IW; telephone IW (1984: See VCF0015)', 1.0: '1. Bus to achieve integration', 7.0: '7. Keep children in neighborhood schools', 9.0: "9. DK; haven't thought much about it"}
VCF0818  {1.0: '1. Agree strongly', 2.0: '2. Agree but not very strongly', 3.0: '3. Not sure; depends; DK; no opinion', 4.0: '4. Disagree but not very strongly', 5.0: '5. Disagree strongly', 9.0: '9. NA'}
VCF0819  {0.0: '0. NA', 1.0: '1. White people have a right to keep Negroes out of their', 2.0: '2. Negroes have a right to live wherever they can afford', 9.0: "9. DK; depends; can't decide; both"}
VCF0820  {0.0: "0. NA; no whites in R's area; Rs erroneously not", 1.0: '1. None of them', 2.0: '2. Less than half', 3.0: '3. About half', 4.0: '4. Most of them', 5.0: '5. All of them', 9.0: '9. DK'}
VCF0821  {0.0: "0. NA; no Blacks in R's area", 1.0: '1. None of them', 2.0: '2. Less than half', 3.0: '3. About half', 4.0: '4. Most of them', 5.0: '5. All of them', 9.0: '9. DK'}
VCF0822  {0.0: '0. NA; Form II,III,IV (1972); no Post IW', 1.0: '1. Poor job', 2.0: '2. Only fair', 3.0: '3. Good job', 9.0: '9. DK'}
US_restWorld  {0.0: '0. NA; no Pre IW; no Post IW; telephone IW (1984:', 1.0: "1. Agree (1956-1960: incl. 'agree strongly' and 'agree", 2.0: "2. Disagree (1956-1960: incl. 'disagree strongly' and", 9.0: "9. DK; depends; not sure; no opinion, can't say; refused"}
VCF0824  {0.0: '0. R has made choice on 7pt scale VCF0803', 1.0: '1. Liberal', 3.0: "3. Moderate ('middle of the road')", 5.0: '5. Conservative', 7.0: '7. R refuses to choose', 8.0: '8. DK', 9.0: '9. NA in either question; technical error (2020)'}
VCF0825  {0.0: '0. NA; Form II (1972)', 1.0: '1. Less likely', 2.0: '2. About the same chances', 3.0: '3. More likely', 9.0: '9. DK; depends'}
VCF0826  {0.0: '0. NA; no Pre IW; no Post IW; refused to answer', 1.0: '1. No, should have stayed out', 2.0: '2. Yes, did right thing', 8.0: '8. DK', 9.0: '9. Depends (1964-1972); both (1964-1972); other (1964,'}
VCF0827  {0.0: '0. NA; no Pre IW; no Post IW', 1.0: '1. Pull out entirely', 2.0: '2. Keep trying to get a peaceful settlement (1952); keep', 3.0: '3. Take a stronger stand (1952: and bomb Manchuria and', 9.0: '9. DK; depends; pro-con; no opinion; other; have not paid'}
VCF0827a  {0.0: "0. Haven't thought much about it (1972 only)", 1.0: '1. Immediate withdrawal', 7.0: '7. Complete military victory', 8.0: '8. DK', 9.0: '9. NA; no Post IW; assigned to Post administration'}
military_spendingCut  {0.0: '0. NA; no Post IW; form II,IV (1972)', 1.0: '1. Cut military spending', 2.0: '2. Continue spending at least at present level', 9.0: '9. DK; depends; pro-con; other'}
Federal_Government_strong  {0.0: '0. NA; Form I (1972); no Post IW; telephone IW', 1.0: '1. Opinion: the government has not gotten too strong', 2.0: '2. Opinion: the government is getting too powerful', 9.0: '9. DK; depends; other; pro-con; no interest; no opinion'}
aid_Blacks  {0.0: '0. NA; telephone IW (2000); no Post IW', 1.0: '1. Government should help minority groups/blacks', 7.0: '7. Minority groups/ blacks should help themselves', 9.0: "9. DK; haven't thought much about it"}
rights_accused  {0.0: '0. NA; no Post IW', 1.0: '1. Protect rights of accused', 7.0: '7. Stop crime regardless of rights of accused', 9.0: "9. DK; haven't thought much about it"}
ERA  {1.0: '1. Approve', 5.0: '5. Disapprove', 8.0: '8. DK', 9.0: '9. NA; no Post IW'}
women_equalRole  {0.0: '0. NA; version NEW (2008); telephone IW (2000)', 1.0: '1. Women and men should have an equal role', 7.0: "7. Women's place is in the home", 9.0: "9. DK; haven't thought much about it"}
women_politics  {0.0: '0. NA; no Post IW or Post is not form B (1952: see', 1.0: "1. Agree (1952: incl. 'agree quite a bit' and 'agree a", 2.0: "2. Disagree (1952: incl. 'disagree quite a bit' and", 9.0: '9. DK'}
when_abortion_allowed  {0.0: '0. NA; no Post IW', 1.0: '1. Abortion should never be permitted', 2.0: '2. Abortion should be permitted only if the life and', 3.0: '3. Abortion should be permitted if, due to personal', 4.0: '4. Abortion should never be forbidden, since one should', 9.0: '9. DK; other'}
legalize_abortion  {0.0: '0. NA; no Post IW; version NEW (2008)', 1.0: '1. By law, abortion should never be permitted', 2.0: '2. The law should permit abortion only in case of rape,', 3.0: '3. The law should permit abortion for reasons other than', 4.0: '4. By law, a woman should always be able to obtain an', 9.0: '9. DK; other'}
government_service  {0.0: '0. NA; version NEW (2008); telephone IW (2000)', 1.0: '1. Government should provide many fewer services: reduce', 7.0: '7. Government should provide many more services: increase', 9.0: "9. DK; haven't thought much about it"}
term_limit  {1.0: '1. Favor', 5.0: '5. Oppose', 8.0: '8. DK; other (1994,1998)', 9.0: '9. NA; short version or Spanish language'}
VCF0841  {0.0: '0. NA; no Post IW', 1.0: '1. Cooperate more/try to get along with Russia', 7.0: '7. Get much tougher/big mistake to try to get along', 9.0: "9. DK; haven't thought much about it"}
envirnmental_regulation  {0.0: '0. NA; telephone IW (2000)', 1.0: '1. Much tougher regulations to protet the environment', 7.0: '7. Regulations already too much of a burden on business', 9.0: "9. DK; haven't thought much about it"}
defense_spending  {0.0: '0. NA; version NEW (2008); telephone IW (2000)', 1.0: '1. Greatly decrease defense spending', 7.0: '7. Greatly increase defense spending', 9.0: "9. DK; haven't thought much about it"}
US_military_force  {1.0: '1. Extremely willing', 2.0: '2. Very willing', 3.0: '3. Somewhat willing', 4.0: '4. Not very willing', 5.0: '5. Never willing', 8.0: '8. DK', 9.0: '9. NA'}
bible_authority_pre1990  {0.0: '0. NA; no Post IW; abbrev. telephone IW (1984, see', 1.0: "1. The Bible is God's word and all it says is true", 2.0: '2. The Bible was written by men inspired by God but it', 3.0: '3. The Bible is a good book because it was written by', 4.0: '4. The Bible was written by men who lived so long ago', 9.0: '9. DK; other'}
religion_important  {0.0: '0. NA; no Post IW; abbrev. telephone IW (1984, see', 1.0: '1. Yes, important', 2.0: '2. Little to no importance', 8.0: '8. DK'}
religious_guidance  {0.0: "0. NA; DK/NA if religion important in R's life;", 1.0: '1. Some', 2.0: '2. Quite a bit', 3.0: '3. A great deal', 5.0: '5. Religion not important', 8.0: '8. DK'}
concern_war  {0.0: '0. NA; no Pre IW; no Post IW; form B (1986); form', 1.0: '1. Not worried', 2.0: '2. Somewhat worried', 3.0: '3. Very worried (1956-1982: pretty worried)', 9.0: '9. DK'}
concern_nuclear_war  {1.0: '1. Not worried', 3.0: '3. Somewhat worried', 5.0: '5. Very worried', 8.0: '8. DK', 9.0: '9. NA; Form A (1990); no Post IW; personal IW'}
ideology3  {0.0: '0. NA to follow-up; R not administered 7pt scale', 1.0: '1. Liberal', 3.0: "3. Moderate ('middle of the road')", 5.0: '5. Conservative', 6.0: '6. Refuses to choose (in follow-up [exc. 1988', 9.0: '9. NA to entire question'}
bible_authority  {0.0: '0. NA; form B (1990); short form or Spanish language', 1.0: '1. The Bible is the actual Word of God and is to be', 2.0: '2. The Bible is the Word of God but not everything in', 3.0: '3. The Bible is a book written by men and is not the', 9.0: '9. Other; DK'}
new_lifestyle_problem  {1.0: '1. Agree strongly', 2.0: '2. Agree somewhat', 3.0: '3. Neither agree nor disagree', 4.0: '4. Disagree somewhat', 5.0: '5. Disagree strongly', 8.0: '8. DK', 9.0: '9. NA; Form B (1990); no Post IW'}
moral_view_adjustment  {1.0: '1. Agree strongly', 2.0: '2. Agree somewhat', 3.0: '3. Neither agree nor disagree', 4.0: '4. Disagree somewhat', 5.0: '5. Disagree strongly', 8.0: '8. DK', 9.0: '9. NA; Form B (1990); no Post IW'}
moral_on_traditionalValue  {1.0: '1. Agree strongly', 2.0: '2. Agree somewhat', 3.0: '3. Neither agree nor disagree', 4.0: '4. Disagree somewhat', 5.0: '5. Disagree strongly', 8.0: '8. DK', 9.0: '9. NA; Form B (1990); no Post IW'}
tolerance_differentMoral  {1.0: '1. Agree strongly', 2.0: '2. Agree somewhat', 3.0: '3. Neither agree nor disagree', 4.0: '4. Disagree somewhat', 5.0: '5. Disagree strongly', 8.0: '8. DK', 9.0: '9. NA; Form B (1990); no Post IW'}
racial_composition_nbhood  {0.0: '0. NA', 1.0: '1. All white', 2.0: '2. Mostly white', 3.0: '3. About half and half', 4.0: '4. Mostly Negro/black', 5.0: '5. All Negro/black', 8.0: '8. DK'}
racial_composition_gradeSchool  {0.0: '0. NA', 1.0: '1. All white', 2.0: '2. Mostly white', 3.0: '3. About half and half', 4.0: '4. Mostly Negro/black', 5.0: '5. All Negro/black', 8.0: '8. DK'}
racial_composition_juniorHigh  {0.0: '0. NA; no junior high in area (1964,1968)', 1.0: '1. All white', 2.0: '2. Mostly white', 3.0: '3. About half and half', 4.0: '4. Mostly Negro/black', 5.0: '5. All Negro/black', 8.0: '8. DK'}
racial_composition_highSchool  {0.0: '0. NA', 1.0: '1. All white', 2.0: '2. Mostly white', 3.0: '3. About half and half', 4.0: '4. Mostly Negro/black', 5.0: '5. All Negro/black', 8.0: '8. DK'}
racial_composition_work  {0.0: "0. NA; R doesn't work; R works alone (1968,1972)", 1.0: '1. All white', 2.0: '2. Mostly white', 3.0: '3. About half and half', 4.0: '4. Mostly Negro/black', 5.0: '5. All Negro/black', 8.0: '8. DK'}
racial_composition_shops  {0.0: '0. NA', 1.0: '1. All white', 2.0: '2. Mostly white', 3.0: '3. About half and half', 4.0: '4. Mostly Negro/black', 5.0: '5. All Negro/black', 8.0: '8. DK'}
racial_composition_friends  {0.0: '0. NA', 1.0: '1. All white', 2.0: '2. Mostly white', 3.0: '3. About half and half', 4.0: '4. Mostly Negro/black', 5.0: '5. All Negro/black', 8.0: '8. DK'}
affirmativeActionPosition  {1.0: '1. For', 5.0: '5. Against', 8.0: '8. DK; 1990-1994: refused; 1996 and later: other', 9.0: '9. NA; Form A (1986); form B (1990); no Post IW'}
affirmativeActionStrength  {1.0: '1. Favor strongly', 2.0: '2. Favor not strongly', 4.0: '4. Oppose not strongly', 5.0: '5. Oppose strongly', 7.0: '7. DK if favor/oppose; 1990-1994: refused; 1996 and', 8.0: '8. Favor/oppose but DK if strongly or not strongly', 9.0: '9. NA if strongly or not strongly; NA whether favor'}
economy_PastYear  {0.0: '0. NA', 1.0: '1. Better', 3.0: '3. Stayed same', 5.0: '5. Worse', 8.0: '8. DK'}
howMuch_conomy_PastYear  {0.0: '0. DK/NA if better or worse', 1.0: '1. Much better', 2.0: '2. Somewhat better', 3.0: '3. Stayed same', 4.0: '4. Somewhat worse', 5.0: '5. Much worse', 8.0: '8. DK much or somewhat better/worse', 9.0: '9. NA much or somewhat better/worse'}
economy_NextYear  {1.0: '1. Get better', 3.0: '3. Stay about the same', 5.0: '5. Get worse', 8.0: '8. DK; RF; depends (1990); version F (2008)', 9.0: '9. NA'}
VCF0873  {1.0: '1. Yes', 5.0: '5. No', 8.0: '8. DK', 9.0: '9. NA; short form or spanish-language'}
VCF0875  {0.0: "00. None; 'there were no issues;' 'there was no campaign", 1.0: '01. AGRICULTURAL', 2.0: '02. ECONOMICS; BUSINESS; CONSUMER ISSUES', 3.0: '03. FOREIGN AFFAIRS AND NATIONAL DEFENSE', 4.0: '04. GOVERNMENT FUNCTIONING', 5.0: '05. LABOR ISSUES', 6.0: '06. NATURAL RESOURCES', 7.0: '07. PUBLIC ORDER', 8.0: '08. RACIAL PROBLEMS', 9.0: '09. SOCIAL WELFARE', 97.0: '97. Other problems (incl. specific campaign issues)', 98.0: '98. DK (exc. 1960,1964,1966)', 99.0: '99. NA; no Post IW; abbrev. telephone IW (1984);'}
VCF0875a  {0.0: '000. no Post IW; Form I,III,IV (1972)', 991.0: '991. 1968: No problem mentioned; no second or third', 996.0: '996. No mentions, DK (1960,1964)', 997.0: '997. No problem mentioned, DK (1966); no second or third', 998.0: '998. DK (1968,1970,1972)', 999.0: '999. NA (1960,1964,1966,1968,1970,1972)'}
VCF0875b  {0.0: '000. no Post IW; R not selected for half-sample', 990.0: '990. Other specific mentions of important problems', 995.0: "995. 'There were no issues'; 'there were no issues, just", 996.0: "996. 'There was no campaign in my district'", 998.0: '998. DK', 999.0: '999. NA'}
law_against_gay_discrimination  {1.0: '1. Favor', 5.0: '5. Oppose', 8.0: '8. DK; depends (1988)', 9.0: '9. NA; no Post IW'}
strength_gay_discrimination_law  {1.0: '1. Favor strongly', 2.0: '2. Favor not strongly', 4.0: '4. Oppose not strongly', 5.0: '5. Oppose strongly', 7.0: '7. DK if favor or oppose; depends (1988); DK if', 9.0: '9. NA if favor or oppose; NA if favor/oppose'}
gay_military  {1.0: '1. Yes, think so', 5.0: "5. Don't think so", 8.0: '8. DK', 9.0: '9. NA; no Post IW'}
strength_gay_military_attitude  {1.0: '1. Feel strongly should be allowed', 2.0: '2. Feel not strongly should be allowed', 4.0: '4. Feel not strongly should not be allowed', 5.0: '5. Feel strongly should not be allowed', 7.0: '7. DK if favor or oppose; depends (1988); DK if', 9.0: '9. NA if favor or oppose; NA if favor/oppose'}
gay_adoption  {1.0: '1. Yes', 5.0: '5. No', 8.0: '8. DK', 9.0: '9. NA; no Post IW'}
VCF0879  {1.0: '1. Increased a lot', 2.0: '2. Increased a little', 3.0: '3. Same as now', 4.0: '4. Decreased a little', 5.0: '5. Decreased a lot', 8.0: '8. DK', 9.0: '9. NA; no Post IW'}
VCF0879a  {1.0: '1. Increased', 3.0: '3. Same as now', 5.0: '5. Decreased', 8.0: '8. DK', 9.0: '9. NA; no Post IW'}
VCF0880  {0.0: '0. NA; no Post IW; form II,III,IV (1972); R', 1.0: '1. Better Now', 2.0: '2. Same (2004: Volunteered)', 3.0: '3. Worse Now', 9.0: '9. DK; uncertain; depends'}
VCF0880a  {1.0: '1. Much better', 2.0: '2. Somewhat better', 3.0: '3. Same', 4.0: '4. Somewhat worse', 5.0: '5. Much worse', 8.0: '8. DK', 9.0: '9. NA; DK/NA if better or worse in past year;'}
VCF0880b  {1.0: '1. Getting better', 3.0: '3. Stayed the same', 5.0: '5. Getting worse', 8.0: '8. DK', 9.0: '9. NA'}
VCF0881  {0.0: '0. NA; Form B (1986); no Pre IW; no Post IW; form', 1.0: '1. Better off (1956-1960,1964: get better)', 2.0: '2. Same (1956-1960,1964: stay the way it is)', 3.0: '3. Worse off (1956-1960,1964: get worse)', 9.0: '9. DK; both; uncertain'}
VCF0886  {1.0: '1.   Increased', 2.0: '2.   Same', 3.0: '3.   Decreased (before 2012: or cut out entirely)', 8.0: '8.   DK', 9.0: '9.   NA; no Post IW; abbrev. telephone IW (1984)'}
VCF0887  {1.0: '1.   Increased', 2.0: '2.   Same', 3.0: '3.   Decreased (before 2012: or cut out entirely)', 8.0: '8.   DK', 9.0: '9.   NA; no Post IW; abbrev. telephone IW (1984)'}
VCF0888  {1.0: '1.   Increased', 2.0: '2.   Same', 3.0: '3.   Decreased (before 2012: or cut out entirely)', 8.0: '8.   DK', 9.0: '9.   NA; no Post IW; abbrev. telephone IW (1984)'}
VCF0889  {1.0: '1. Increased', 2.0: '2. Same', 3.0: '3. Decreased or cut out entirely', 8.0: '8. DK', 9.0: '9. NA; no Post IW; abbrev. telephone IW (1984)'}
VCF0890  {1.0: '1.   Increased', 2.0: '2.   Same', 3.0: '3.   Decreased (before 2012: or cut out entirely)', 8.0: '8.   DK', 9.0: '9.   NA; no Post IW; abbrev. telephone IW (1984)'}
VCF0891  {1.0: '1. Increased', 2.0: '2. Same', 3.0: '3. Decreased or cut out entirely', 8.0: '8. DK', 9.0: '9. NA; no Post IW; abbrev. telephone IW (1984)'}
VCF0892  {1.0: '1. Increased', 2.0: '2. Same', 3.0: '3. Decreased or cut out entirely', 8.0: '8. DK', 9.0: '9. NA; no Post IW; abbrev. telephone IW (1984)'}
VCF0893  {1.0: '1. Increased', 2.0: '2. Same', 3.0: '3. Decreased or cut out entirely', 8.0: '8. DK', 9.0: '9. NA; no Post IW; abbrev. telephone IW (1984)'}
VCF0894  {1.0: '1.   Increased', 2.0: '2.   Same', 3.0: '3.   Decreased (before 2012: or cut out entirely)', 8.0: '8.   DK', 9.0: '9.   NA; no Post IW; abbrev. telephone IW (1984)'}
VCF0900  {0.0: '00. NA; wrong district identified', 98.0: '98. At large district', 99.0: '99. District of Columbia'}
VCF0900b  {9999.0: '9999. 00,98,99 in VCF0900 or 00,99 in VCF0901a'}
State_FIPS  {0.0: '00. Wrong district identified (2000)', 99.0: '99. NA'}
VCF0902  {0.0: '00. Washington D.C.; California (1974 only, due to redistricting type of race could not be determined); wrong district i', 12.0: '12. Democratic incumbent running--Republican challenger', 13.0: '13. Democratic incumbent--other challenger', 14.0: '14. Democratic incumbent running--unopposed', 19.0: '19. Democratic incumbent running--Republican challenger and others', 21.0: '21. Republican incumbent running--Democratic challenger', 23.0: '23. Republican incumbent--other challenger', 24.0: '24. Republican incumbent running--unopposed', 29.0: '29. Republican incumbent running--Democratic challenger and others', 31.0: '31. Other incumbent running--Democratic challenger', 32.0: '32. Other incumbent running--Republican challenger', 34.0: '34. Other incumbent running--unopposed', 35.0: '35. Other incumbent running--Democratic and Republican challengers', 36.0: '36. Other incumbent running--Republican and other challengers', 37.0: '37. Other incumbent running--Democratic and other challengers', 39.0: '39. Other incumbent running -- Democratic, Republican, other challengers', 40.0: '40. Democratic and Republican incumbents running--no other candidate (see note)', 41.0: '41. Two Democratic incumbents running (see note)', 45.0: '45. Two Republican incumbents running (see note)', 49.0: '49. Democratic and Republican incumbents running--other candidate (see note)', 51.0: '51. No incumbent Repr. running--Democratic candidate unopposed', 52.0: '52. No incumbent Repr. running--Republican candidate unopposed', 53.0: '53. No incumbent Repr. running--other candidate unopposed', 55.0: '55. No incumbent Repr. running--Democratic and Republican candidates', 56.0: '56. No incumbent Repr. running--Republican and other candidates', 57.0: '57. No incumbent Repr. running--Democratic and other candidates', 59.0: '59. No incumbent Repr. running--Democratic and Republican and other candidates', 83.0: '83. No identifiable incumbent, Democratic cand in open race due to redistricting', 84.0: '84. No identifiable incumbent, Republican cand in open race due to redistricting', 85.0: '85. No identifiable incumbent, Dem and Rep cands in open race due to redistricting', 89.0: '89. No identifiable incumbent, Dem, Rep and other cands in open race due to redistricting', 99.0: '99. NA'}
VCF0903  {1.0: '1. US House Representative is running for re-election in', 2.0: '2. US House Representative is NOT running for re-', 9.0: '9. no Post IW; abbrev. telephone IW (1984);'}
CD_incumbent  {0.0: '0. No incumbent running in CD', 1.0: '1. Running incumbent is unopposed', 2.0: '2. Running incumbent is opposed', 9.0: '9. Washington D.C.; no Post IW; wrong district'}
number_houseCand  {1.0: '1. Major party candidate, unopposed by 2nd major party candidate', 2.0: '2. Two or more major party candidates', 9.0: '9. NA; no Post IW; abbrev. telephone IW (1984);'}
therm_houseDemCand  {990.0: '990. No Democratic candidate', 997.0: "997. R doesn't recognize name", 998.0: "998. DK where to rate; can't judge", 999.0: '999. NA; refused; no Post IW; Washington D.C.; wrong'}
therm_houseRepCand  {990.0: '990. No Republican candidate', 997.0: "997. R doesn't recognize name", 998.0: "998. DK where to rate; can't judge", 999.0: '999. NA; refused; no Post IW; Washington D.C.; wrong'}
therm_houseIncumbent  {990.0: '990. Incumbent is not running', 997.0: "997. R doesn't recognize name", 998.0: "998. DK where to rate; can't judge", 999.0: '999. NA; refused; no Post IW; Washington D.C.; wrong'}
therm_houseChallenger  {990.0: '990. Incumbent is unopposed or not running', 997.0: "997. R doesn't recognize name", 998.0: "998. DK where to rate; can't judge", 999.0: '999. NA; refused; no Post IW; Washington D.C.; wrong'}
contact_houseIncumbent  {0.0: '0. No incumbent candidate running', 1.0: '1. Yes', 5.0: '5. No, no contact at all', 9.0: '9. NA; no Post IW; Washington D.C.; abbreviated IW (1984);'}
houseIncumbent_met  {0.0: '0. No incumbent candidate running; no contact; only', 1.0: '1. Yes', 5.0: '5. No', 9.0: '9. NA if contact made (9 in VCF0910); NA VCF0911-917;'}
houseIncumbent_attendMet  {0.0: '0. No incumbent candidate running; no contact; only', 1.0: '1. Yes', 5.0: '5. No', 9.0: '9. NA if contact made (9 in VCF0910); NA VCF0911-917;'}
houseIncumbent_talkedStaff  {0.0: '0. No incumbent candidate running; no contact; only', 1.0: '1. Yes', 5.0: '5. No', 9.0: '9. NA if contact made (9 in VCF0910); NA VCF0911-VCF0917;'}
houseIncumbent_recevMail  {0.0: '0. No incumbent candidate running; no contact; only', 1.0: '1. Yes', 5.0: '5. No', 9.0: '9. NA if contact made (9 in VCF0910); NA VCF0911-VCF0917;'}
houseIncumbent_ReadAbout  {0.0: '0. No incumbent candidate running; no contact; only', 1.0: '1. Yes', 5.0: '5. No', 9.0: '9. NA if contact made (9 in VCF0910); NA VCF0911-VCF917;'}
houseIncumbent_HeardonRadio  {0.0: '0. No incumbent candidate running; no contact; only', 1.0: '1. Yes', 5.0: '5. No', 9.0: '9. NA if contact made (9 in VCF0910); NA VCF0911'}
houseIncumbent_SawTv  {0.0: '0. No incumbent candidate running; no contact; only', 1.0: '1. Yes', 5.0: '5. No', 9.0: '9. NA if contact made (9 in VCF0910); NA VCF0911'}
houseIncumbent_contactedbyKnown  {0.0: '0. No incumbent candidate running', 1.0: '1. Yes', 5.0: '5. No', 9.0: '9. NA; DK; no Post IW; Washington D.C.; abbrev'}
VCF0919  {0.0: '0. Incumbent candidate unopposed or not running;', 1.0: '1. Yes', 5.0: '5. No, no contact at all', 9.0: '9. NA; no Post IW; Washington D.C.; telephone IW'}
VCF0920  {0.0: '0. Incumbent candidate unopposed or not running; no', 1.0: '1. Yes', 5.0: '5. No', 9.0: '9. NA if contact made (9 in VCF0919); NA VCF0920-926;'}
VCF0921  {0.0: '0. Incumbent candidate unopposed or not running; no', 1.0: '1. Yes', 5.0: '5. No', 9.0: '9. NA if contact made (9 in VCF0919); NA VCF0920-926;'}
VCF0922  {0.0: '0. Incumbent candidate unopposed or not running; no', 1.0: '1. Yes', 5.0: '5. No', 9.0: '9. NA if contact made (9 in VCF0919); NA VCF0920-926;'}
VCF0923  {0.0: '0. Incumbent candidate unopposed or not running; no', 1.0: '1. Yes', 5.0: '5. No', 9.0: '9. NA if contact made (9 in VCF0919); NA VCF0920-926;'}
VCF0924  {0.0: '0. Incumbent candidate unopposed or not running; no', 1.0: '1. Yes', 5.0: '5. No', 9.0: '9. NA if contact made (9 in VCF0919); NA VCF0920-926;'}
VCF0925  {0.0: '0. Incumbent candidate unopposed or not running; no', 1.0: '1. Yes', 5.0: '5. No', 9.0: '9. NA if contact made (9 in VCF0919); NA VCF0920-926;'}
VCF0926  {0.0: '0. Incumbent candidate unopposed or not running; no', 1.0: '1. Yes', 5.0: '5. No', 9.0: '9. NA if contact made (9 in VCF0919); NA VCF0919-926;'}
VCF0927  {0.0: '0. Incumbent candidate unopposed or not running;', 1.0: '1. Yes', 5.0: '5. No', 9.0: '9. NA; DK; no Post IW; Washington D.C.; abbrev'}
VCF0928  {0.0: '0. No Democratic candidate running', 1.0: '1. Yes', 5.0: '5. No, no contact at all', 9.0: '9. NA; no Post IW; Washington D.C.; telephone IW'}
