,column_name
"(HISPANIC Rs) For information about politics does R get the most information from Spanish or English language television, radio, and newspapers",VCF9266
Thermometer for: Muslims,therm_Mislims
Thermometer for: rich people,therm_rich
Thermometer for: Christians,therm_Christians
Hardworking-lazy (7pt) scale placement for whites,hardworking_whites
Hardworking-lazy (7pt) scale placement for blacks,hardworking_blacks
Hardworking-lazy (7pt) scale placement for Hispanic-Americans,hardworking_Hispanics
Hardworking-lazy (7pt) scale placement for Asian Americans,hardworking_Asians
"In American life and politics, do blacks have too much, about the right amount of, or too little influence",blackInfluence_lifePolitics
"In American politics, do blacks have too much, about the right amount of, or too little influence",blackInfluence_Politics
"Does working/temporarily laid off R work for someone else, self, or what",VCF9277
"Does working/temporarily laid off R work for the federal, state, or local government",VCF9278
"Does R consider self to be heterosexual or straight, homosexual or [gay/lesbian], or bisexual",sex_orientation
Does R know anyone among family and friends who is bisexual or gay,bisexalFamilyorFriends
Does R have any (1994: some) kind of health insurance,have_healthInsurance
Is R living with family members,living_withFamily
